first_name,last_name,age,survived,go_to_wedding,children,gender,war,house
jon,snow,25,no,no,no,male,yes,night
daenerys,targaryen,19,yes,yes,yes,female,yes,targaryen
gregor,clegane,35,yes,no,no,male,no,lannister
sansa,stark,19,yes,yes,no,female,yes,stark
arya ,stark,17,yes,no,no,female,no,stark
bran,stark,14,yes,no,no,male,no,stark
tyrion,lannister,41,yes,yes,no,male,yes,targaryen
cersei,lannister,43,yes,yes,yes,female,yes,lannister
rickon,stark,12,yes,no,no,male,no,stark
khal ,drogo,29,no,yes,yes,male,yes,drogo
joffrey,baratheon,18,no,yes,no,male,yes,baratheon
ramsay,bolton,25,yes,yes,no,male,yes,bolton
margeary,tyrell,19,yes,yes,no,female,no,tyrell
petry,baelish,45,yes,yes,no,male,no,lannister
eddard,stark,49,no,no,yes,male,yes,stark
brienne,tarth,38,yes,no,no,female,no,stark
sandor,clegane,30,no,yes,no,male,no,lannister
theon,greyjoy,30,yes,yes,no,male,no,greyjoy
,ygritte,20,no,no,no,female,no,nohouse
stannis,baratheon,52,no,no,yes,male,yes,baratheon
catelyn,stark,44,no,yes,yes,female,no,stark
lord,varys,41,yes,yes,no,male,yes,targaryen
jaime,lannister,43,yes,yes,no,male,yes,lannister
robb,stark,31,no,yes,yes,female,yes,stark
jorah,mormont,52,yes,no,no,male,yes,targaryen
roose,bolton,56,no,yes,yes,male,yes,bolton
oberyn,martell,32,no,yes,yes,male,no,martel
mycella,baratheon,19,no,no,no,female,no,baratheon
tommen,baratheon,18,yes,yes,no,male,no,baratheon
meera ,reed,16,yes,no,no,female,no,stark
davos,seaworth,54,yes,no,yes,male,yes,baratheon
grey ,worm,23,yes,no,no,male,yes,targaryen
benjen ,stark,52,yes,no,no,male,no,night
renly,baratheon,25,no,yes,no,male,yes,baratheon
tywin,lannister,60,no,yes,yes,male,yes,lannister
jojen,reed,17,no,no,no,male,no,stark
jeor,mormont,60,no,no,yes,male,no,night
viserys,targaryen,21,no,yes,no,male,no,targaryen
samwell ,tarly,29,yes,no,no,male,no,tarly
robert,baratheon,49,no,yes,yes,male,yes,baratheon
areys,targaryen,61,no,no,yes,male,no,targaryen
olenna,tyrell,63,yes,yes,yes,female,no,tyrell
balon,greyjoy,65,no,no,yes,male,no,greyjoy
alannys,greyjoy,33,yes,no,no,female,no,greyjoy
,gilly,16,yes,no,yes,female,no,nohouse
talisa,stark,27,no,yes,yes,female,no,stark
